"ARTIKEL","PLAATS","ARTIKELOMSCHRIJVING","MAAT","VOORRAAD","REFERENTIE","BARCODE"
"              534863","VR-01-19","              534863-MACK M XD HG/ZW  S3 OVN PD WK","42","10","106430","8715316091612"
"              706540","VR-01-19","              706540-SPA-D LG GR/BL   S2    PU","42","10","106430","8715316043277"
"              730548","VR-01-19","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              760546","VR-01-19","              760546-RANGER-D HG GRIJS S3 PUR/PUR","43","10","106430","8715316074790"
"              760546","VR-01-19","              760546-RANGER-D HG GRIJS S3 PUR/PUR","44","10","106430","8715316074806"
"              939868","VR-01-19","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              939868","VR-01-19","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","44","10","106430","8715316093517"
"              995549","VR-01-19","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","10","106430","8715316150524"
"              181548","VR-01-20","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              706540","VR-01-20","              706540-SPA-D LG GR/BL   S2    PU","42","10","106430","8715316043277"
"              714546","VR-01-20","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","10","106430","8715316060410"
"              731568","VR-01-20","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              736540","VR-01-20","              736540-SILVERSTONE-D HG GR/BL  S2  PU","43","10","106430","8715316045400"
"              794560","VR-01-20","              794560-VENUS-XD INST ZW S2  PUR","46","10","106430","8715316072581"
"              794566","VR-01-20","              794566-VENUS-XD INS ZW S3  PUR  ISP","40","10","106430","8715316075766"
"              794566","VR-01-20","              794566-VENUS-XD INS ZW S3  PUR  ISP","44","10","106430","8715316075803"
"              980549","VR-01-20","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","10","106430","8715316150210"
"              995549","VR-01-20","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","48","10","106430","8715316150562"
"              181548","VR-01-21","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              332546","VR-01-21","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","42","10","106430","8715316137013"
"              714546","VR-01-21","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","44","10","106430","8715316060403"
"              730548","VR-01-21","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              730548","VR-01-21","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              730848","VR-01-21","              730848-BILLY-D HG ZW S3  OVN PD","45","10","106430","8715316044922"
"              760546","VR-01-21","              760546-RANGER-D HG GRIJS S3 PUR/PUR","43","10","106430","8715316074790"
"              787547","VR-01-21","              787547-DAYTONA-D SND S1P PU METAL FREE","42","10","106430","8715316147562"
"              939868","VR-01-21","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              994569","VR-01-21","              994569-DONOVAN-XD HGBR ESD PU/PU S3 METAL FREE","44","10","106430","8715316150074"
"              181548","VR-01-22","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              714540","VR-01-22","              714540-VENUS-D INST ZW  S2  PU","43","10","106430","8715316047176"
"              730548","VR-01-22","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-22","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              730848","VR-01-22","              730848-BILLY-D HG ZW S3  OVN PD","45","10","106430","8715316044922"
"              731568","VR-01-22","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              760546","VR-01-22","              760546-RANGER-D HG GRIJS S3 PUR/PUR","42","10","106430","8715316074783"
"              794566","VR-01-22","              794566-VENUS-XD INS ZW S3  PUR  ISP","40","10","106430","8715316075766"
"              950549","VR-01-22","              950549-JORDAN-D HG BL ESD PU METAL FREE S1P","40","10","106430","8715316146282"
"              995549","VR-01-22","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","10","106430","8715316150487"
"              112090","VR-01-23","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","43","10","106430","8715316104275"
"              181548","VR-01-23","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","10","106430","8715316021978"
"              701560","VR-01-23","              701560-ROY-XD LG ZW  S2  PU","46","10","106430","8715316020476"
"              714546","VR-01-23","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","44","10","106430","8715316060403"
"              714546","VR-01-23","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","10","106430","8715316060410"
"              720546","VR-01-23","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","41","10","106430","8715316073731"
"              730548","VR-01-23","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              787547","VR-01-23","              787547-DAYTONA-D SND S1P PU METAL FREE","42","10","106430","8715316147562"
"              980549","VR-01-23","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","48","10","106430","8715316150265"
"               80430","VR-01-24","               80430-NITRO","46","80","106430","7340093606387"
"              331868","VR-01-25","              331868-BRYCE-XD MF HG ZW S3 OVN PD ST.PL","44","10","106430","8715316136139"
"              534863","VR-01-25","              534863-MACK M XD HG/ZW  S3 OVN PD WK","42","10","106430","8715316091612"
"              540868","VR-01-25","              540868-VULCANUS-XD   LAS ZW S3 OVN  PD","41","10","106430","8715316023262"
"              714540","VR-01-25","              714540-VENUS-D INST ZW  S2  PU","43","10","106430","8715316047176"
"              720546","VR-01-25","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","42","10","106430","8715316073748"
"              730848","VR-01-25","              730848-BILLY-D HG ZW S3  OVN PD","41","10","106430","8715316044885"
"              761566","VR-01-25","              761566-RANGER-XD HG GRIJS S3  PUR/PUR","44","10","106430","8715316074929"
"              939868","VR-01-25","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","10","106430","8715316093500"
"              995549","VR-01-25","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","10","106430","8715316150487"
"              995549","VR-01-25","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","10","106430","8715316150524"
"              331868","VR-01-26","              331868-BRYCE-XD MF HG ZW S3 OVN PD ST.PL","42","10","106430","8715316136115"
"              700848","VR-01-26","              700848-BAS-D LG ZW S3 OVN PD","43","10","106430","8715316020322"
"              714546","VR-01-26","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","44","10","106430","8715316060403"
"              714546","VR-01-26","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","10","106430","8715316060410"
"              730548","VR-01-26","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              730548","VR-01-26","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730548","VR-01-26","              730548-LUKAS-D HG ZW S3 OVN  PU","46","10","106430","8715316044458"
"              730848","VR-01-26","              730848-BILLY-D HG ZW S3  OVN PD","45","10","106430","8715316044922"
"              794566","VR-01-26","              794566-VENUS-XD INS ZW S3  PUR  ISP","40","10","106430","8715316075766"
"              980549","VR-01-26","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","10","106430","8715316150210"
"              701560","VR-01-27","              701560-ROY-XD LG ZW  S2  PU","46","10","106430","8715316020476"
"              720546","VR-01-27","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","42","10","106430","8715316073748"
"              730548","VR-01-27","              730548-LUKAS-D HG ZW S3 OVN  PU","40","10","106430","8715316044397"
"              731568","VR-01-27","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              760546","VR-01-27","              760546-RANGER-D HG GRIJS S3 PUR/PUR","42","10","106430","8715316074783"
"              760546","VR-01-27","              760546-RANGER-D HG GRIJS S3 PUR/PUR","43","20","106430","8715316074790"
"              794566","VR-01-27","              794566-VENUS-XD INS ZW S3  PUR  ISP","44","10","106430","8715316075803"
"              980549","VR-01-27","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","10","106430","8715316150210"
"              995549","VR-01-27","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","10","106430","8715316150524"
"                 129","VR-01-28","                 129-HYDRO DRY BUSINESS SOK NL","39-42","20","106430","8715316106613"
"                 129","VR-01-28","                 129-HYDRO DRY BUSINESS SOK NL","43-46","10","106430","8715316106620"
"              112090","VR-01-28","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","43","4","106430","8715316104275"
"              112090","VR-01-28","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","45","5","106430","8715316104299"
"              114090","VR-01-28","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","44","4","106430","8715316104787"
"              162090","VR-01-28","              162090-MARTINO-D HGBR S3 PRE ESD AGO (FRONTIER 162)","44","5","106430","8715316104381"
"              336036","VR-01-28","              336036-AMAZONE-XXD HG ZW VIBRAM","46","5","106430","8715316137358"
"              336036","VR-01-28","              336036-AMAZONE-XXD HG ZW VIBRAM","47","4","106430","8715316137365"
"              730848","VR-01-28","              730848-BILLY-D HG ZW S3  OVN PD","45","9","106430","8715316044922"
"              787547","VR-01-28","              787547-DAYTONA-D SND S1P PU METAL FREE","42","4","106430","8715316147562"
"              810547","VR-01-28","              810547-CROSSFORCE FLY LOW D","38","3","106430","8715316153792"
"              810547","VR-01-28","              810547-CROSSFORCE FLY LOW D","44","10","106430","8715316153853"
"              811567","VR-01-28","              811567-CROSSFORCE FLY LOW XD","42","4","106430","8715316153983"
"              830547","VR-01-28","              830547-CROSSFORCE FLY HIGH D","42","7","106430","8715316154133"
"              830547","VR-01-28","              830547-CROSSFORCE FLY HIGH D","48","5","106430","8715316154195"
"              831567","VR-01-28","              831567-CROSSFORCE FLY HIGH XD","42","15","106430","8715316154287"
"              112090","VR-01-29","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","42","8","106430","8715316104268"
"              112090","VR-01-29","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","43","9","106430","8715316104275"
"              112090","VR-01-29","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","44","5","106430","8715316104282"
"              112090","VR-01-29","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","45","5","106430","8715316104299"
"              114090","VR-01-29","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","42","5","106430","8715316104763"
"              162090","VR-01-29","              162090-MARTINO-D HGBR S3 PRE ESD AGO (FRONTIER 162)","44","4","106430","8715316104381"
"              162090","VR-01-29","              162090-MARTINO-D HGBR S3 PRE ESD AGO (FRONTIER 162)","45","9","106430","8715316104398"
"              164000","VR-01-29","              164000-VALENTINO-XD HGZW S3 PRE ESD AGO(FRONTIER 164)","43","2","106430","8715316143403"
"              164090","VR-01-29","              164090-VALENTINO-D HGZW S3 PRE ESD AGO (FRONTIER 164)","43","5","106430","8715316104978"
"              306036","VR-01-29","              306036-ALASKA-XXD LG ZW S3 VIBRAM","44","5","106430","8715316136887"
"              332546","VR-01-29","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","41","9","106430","8715316137006"
"              336036","VR-01-29","              336036-AMAZONE-XXD HG ZW VIBRAM","45","5","106430","8715316137341"
"              714546","VR-01-29","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","45","5","106430","8715316060410"
"              980549","VR-01-29","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","48","5","106430","8715316150265"
"              995549","VR-01-29","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","8","106430","8715316150487"
"              105090","VR-01-30","              105090-TRENTO LGZW  S3 OFF ESD AGO/NI","41","5","106430","8715316076237"
"              105090","VR-01-30","              105090-TRENTO LGZW  S3 OFF ESD AGO/NI","42","5","106430","8715316076244"
"              105090","VR-01-30","              105090-TRENTO LGZW  S3 OFF ESD AGO/NI","43","4","106430","8715316076251"
"              107090","VR-01-30","              107090-BOLOGNA-D LGZW S3  OFF ESD AGO/NI","42","5","106430","8715316076442"
"              114000","VR-01-30","              114000-VITO-XD LGZW S3 PRE ESD AGO (FRONTIER 114)","44","2","106430","8715316143311"
"              114090","VR-01-30","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","41","5","106430","8715316104756"
"              114090","VR-01-30","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","42","8","106430","8715316104763"
"              114090","VR-01-30","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","43","1","106430","8715316104770"
"              135090","VR-01-30","              135090-TORINO HGZW S3 OFF ESD AGO/NI","43","5","106430","8715316076558"
"              162090","VR-01-30","              162090-MARTINO-D HGBR S3 PRE ESD AGO (FRONTIER 162)","43","8","106430","8715316104374"
"              534863","VR-01-30","              534863-MACK M XD HG/ZW  S3 OVN PD WK","42","9","106430","8715316091612"
"              787547","VR-01-30","              787547-DAYTONA-D SND S1P PU METAL FREE","42","9","106430","8715316147562"
"              980549","VR-01-30","              980549-CLAY-D LG ZW  ESD PU/PU S3 METAL FREE","43","9","106430","8715316150210"
"              995549","VR-01-30","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","44","9","106430","8715316150524"
"              112090","VR-01-31","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","41","5","106430","8715316104251"
"              112090","VR-01-31","              112090-MARCO-D LGBR S3 PRE ESD AGO (FRONTIER 112)","44","4","106430","8715316104282"
"              162090","VR-01-31","              162090-MARTINO-D HGBR S3 PRE ESD AGO (FRONTIER 162)","44","14","106430","8715316104381"
"              162090","VR-01-31","              162090-MARTINO-D HGBR S3 PRE ESD AGO (FRONTIER 162)","45","9","106430","8715316104398"
"              306036","VR-01-31","              306036-ALASKA-XXD LG ZW S3 VIBRAM","44","5","106430","8715316136887"
"              335568","VR-01-31","              335568-HIMALAYA-XD HG ZW S3 PU/PU OVN ST.PL","43","9","106430","8715316137921"
"              336036","VR-01-31","              336036-AMAZONE-XXD HG ZW VIBRAM","44","5","106430","8715316137334"
"              714546","VR-01-31","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","43","5","106430","8715316060397"
"              720546","VR-01-31","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","41","5","106430","8715316073731"
"              722546","VR-01-31","              722546-NORDIC-D LG BR/ZW S3 PUR/PUR","41","5","106430","8715316073991"
"              918549","VR-01-31","              918549-JACK-D LG BL ESD PU METAL FREE S1P","40","5","106430","8715316145865"
"              939868","VR-01-31","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","41","9","106430","8715316093487"
"              981569","VR-01-31","              981569-CLAY-XD LG ZW ESD PU/PU S3 METAL FREE","48","5","106430","8715316150418"
"              995549","VR-01-31","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","42","9","106430","8715316150500"
"              114090","VR-01-32","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","41","5","106430","8715316104756"
"              114090","VR-01-32","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","42","4","106430","8715316104763"
"              114090","VR-01-32","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","43","10","106430","8715316104770"
"              114090","VR-01-32","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","45","13","106430","8715316104794"
"              135090","VR-01-32","              135090-TORINO HGZW S3 OFF ESD AGO/NI","44","3","106430","8715316076565"
"              714546","VR-01-32","              714546-VENUS-D  INST/ZW  S3  PUR   ISP","47","5","106430","8715316060434"
"              763566","VR-01-32","              763566-NESTOR-XD HG BR/ZW S3 PUR/PUR","44","9","106430","8715316075322"
"              794560","VR-01-32","              794560-VENUS-XD INST ZW S2  PUR","42","4","106430","8715316072543"
"              813867","VR-01-32","              813867-CROSSFORCE X LOW XD","47","1","106430","8715316154638"
"              830547","VR-01-32","              830547-CROSSFORCE FLY HIGH D","44","1","106430","8715316154157"
"              831567","VR-01-32","              831567-CROSSFORCE FLY HIGH XD","47","1","106430","8715316154331"
"              981569","VR-01-32","              981569-CLAY-XD LG ZW ESD PU/PU S3 METAL FREE","41","5","106430","8715316150340"
"              995549","VR-01-32","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","9","106430","8715316150487"
"              995549","VR-01-32","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","41","9","106430","8715316150494"
"              995549","VR-01-32","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","42","9","106430","8715316150500"
"              105090","VR-01-33","              105090-TRENTO LGZW  S3 OFF ESD AGO/NI","44","5","106430","8715316076268"
"              105090","VR-01-33","              105090-TRENTO LGZW  S3 OFF ESD AGO/NI","45","5","106430","8715316076275"
"              107090","VR-01-33","              107090-BOLOGNA-D LGZW S3  OFF ESD AGO/NI","41","5","106430","8715316076435"
"              107090","VR-01-33","              107090-BOLOGNA-D LGZW S3  OFF ESD AGO/NI","44","3","106430","8715316076466"
"              107090","VR-01-33","              107090-BOLOGNA-D LGZW S3  OFF ESD AGO/NI","45","5","106430","8715316076473"
"              114090","VR-01-33","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","42","5","106430","8715316104763"
"              114090","VR-01-33","              114090-VITO-D LGZW S3 PRE ESD AGO (FRONTIER 114)","43","7","106430","8715316104770"
"              135090","VR-01-33","              135090-TORINO HGZW S3 OFF ESD AGO/NI","41","5","106430","8715316076534"
"              135090","VR-01-33","              135090-TORINO HGZW S3 OFF ESD AGO/NI","45","5","106430","8715316076572"
"              164000","VR-01-33","              164000-VALENTINO-XD HGZW S3 PRE ESD AGO(FRONTIER 164)","44","10","106430","8715316143410"
"              181548","VR-01-33","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","41","1","106430","8715316021947"
"              306036","VR-01-33","              306036-ALASKA-XXD LG ZW S3 VIBRAM","45","5","106430","8715316136894"
"              334548","VR-01-33","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","44","8","106430","8715316137785"
"              336036","VR-01-33","              336036-AMAZONE-XXD HG ZW VIBRAM","45","5","106430","8715316137341"
"              534863","VR-01-33","              534863-MACK M XD HG/ZW  S3 OVN PD WK","48","3","106430","8715316091674"
"              701866","VR-01-33","              701866-PAUL-XD LG ZW S3 PD","41","1","106430","8715316040528"
"              714540","VR-01-33","              714540-VENUS-D INST ZW  S2  PU","47","1","106430","8715316047213"
"              714846","VR-01-33","              714846-VOX-D INST ZW S3 PD","43","1","106430","8715316119859"
"              720546","VR-01-33","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","45","1","106430","8715316073779"
"              730548","VR-01-33","              730548-LUKAS-D HG ZW S3 OVN  PU","44","1","106430","8715316044434"
"              731568","VR-01-33","              731568-LUKAS-XD HG ZW S3 OVN  PU","46","1","106430","8715316044571"
"              731868","VR-01-33","              731868-BILLY-XD HG ZW S3 OVN PD","44","1","106430","8715316045035"
"              794560","VR-01-33","              794560-VENUS-XD INST ZW S2  PUR","42","5","106430","8715316072543"
"              794566","VR-01-33","              794566-VENUS-XD INS ZW S3  PUR  ISP","42","1","106430","8715316075780"
"              939868","VR-01-33","              939868-PRIMUS XD HG ZW/GR S3 OVN PD","43","2","106430","8715316093500"
"              995549","VR-01-33","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","42","1","106430","8715316150500"
